# 2-Theta   Intensity
58.9993   306.0
59.0243   620.0
59.0493   1274.0
59.0743   2052.0
59.0993   2079.0
59.1243   1239.0
59.1493   630.0
59.1743   466.0
59.1993   585.0
59.2243   882.0
59.2493   1011.0
59.2743   800.0
59.2993   445.0
59.3243   179.0
59.3493   106.0
59.3743   77.0
59.3993   59.0
59.4243   47.0
59.4493   46.0
59.4743   33.0
59.4993   43.0
59.5243   38.0
59.5493   27.0
59.5743   26.0
59.5993   24.0
59.6243   30.0
59.6493   20.0
59.6743   21.0
59.6993   19.0
59.7243   20.0
59.7493   20.0
59.7743   20.0
59.7993   20.0
59.8243   16.0
59.8493   10.0
59.8743   16.0
59.8993   16.0
59.9243   16.0
59.9493   16.0
59.9743   12.0
59.9993   12.0
60.0243   15.0
60.0493   16.0
60.0743   13.0
60.0993   10.0
60.1243   13.0
60.1493   15.0
60.1743   16.0
60.1993   10.0
60.2243   20.0
60.2493   12.0
60.2743   12.0
60.2993   10.0
60.3243   17.0
60.3493   13.0
60.3743   4.0
60.3993   10.0
60.4243   12.0
60.4493   13.0
60.4743   10.0
60.4993   10.0
60.5243   16.0
60.5493   10.0
60.5743   5.0
60.5993   10.0
60.6243   12.0
60.6493   16.0
60.6743   16.0
60.6993   2.0
60.7243   12.0
60.7493   9.0
60.7743   13.0
60.7993   12.0
60.8243   13.0
60.8493   20.0
60.8743   13.0
60.8993   12.0
60.9243   21.0
60.9493   12.0
60.9743   10.0
60.9993   5.0
61.0243   7.0
61.0493   17.0
61.0743   9.0
61.0993   16.0
61.1243   10.0
61.1493   9.0
61.1743   10.0
61.1993   9.0
61.2243   12.0
61.2493   6.0
61.2743   10.0
61.2993   16.0
61.3243   10.0
61.3493   15.0
61.3743   21.0
61.3993   12.0
61.4243   10.0
61.4493   16.0
61.4743   16.0
61.4993   16.0
61.5243   9.0
61.5493   9.0
61.5743   10.0
61.5993   20.0
61.6243   15.0
61.6493   10.0
61.6743   10.0
61.6993   12.0
61.7243   10.0
61.7493   9.0
61.7743   10.0
61.7993   10.0
61.8243   10.0
61.8493   12.0
61.8743   15.0
61.8993   12.0
61.9243   16.0
61.9493   19.0
61.9743   12.0
61.9993   9.0
62.0243   6.0
62.0493   12.0
62.0743   6.0
62.0993   13.0
62.1243   10.0
62.1493   6.0
62.1743   16.0
62.1993   12.0
62.2243   10.0
62.2493   15.0
62.2743   10.0
62.2993   12.0
62.3243   4.0
62.3493   7.0
62.3743   12.0
62.3993   12.0
62.4243   9.0
62.4493   16.0
62.4743   9.0
62.4993   15.0
62.5243   13.0
62.5493   15.0
62.5743   9.0
62.5993   12.0
62.6243   4.0
62.6493   10.0
62.6743   12.0
62.6993   7.0
62.7243   9.0
62.7493   4.0
62.7743   12.0
62.7993   12.0
62.8243   10.0
62.8493   5.0
62.8743   17.0
62.8993   13.0
62.9243   13.0
62.9493   16.0
62.9743   13.0
62.9993   7.0
63.0243   12.0
63.0493   15.0
63.0743   9.0
63.0993   15.0
63.1243   12.0
63.1493   9.0
63.1743   10.0
63.1993   5.0
63.2243   9.0
63.2493   12.0
63.2743   16.0
63.2993   12.0
63.3243   7.0
63.3493   7.0
63.3743   10.0
63.3993   7.0
63.4243   7.0
63.4493   10.0
63.4743   10.0
63.4993   9.0
